seed,n_reference_samples,recent_samples_proportion,shap_classifier,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777663472,500,0.5,lightgbm,0.7,0.1274131274131274,0.1274131274131274,0.09009009009009009,0.09009009009009009,0.9819819819819819,0.9819819819819819,0.04132231404958678,0.04132231404958678,0.9751465201465201,0.9751465201465201,0.5474836807749,5200.0,4749.0,0.5,"[3249, 5999, 10249, 15249, 19999, 24749, 29249]"
1777663493,500,0.5,lightgbm,0.7,0.098989898989899,0.098989898989899,0.08181818181818182,0.08181818181818182,0.9727272727272728,0.9727272727272728,0.037815126050420166,0.037815126050420166,0.9671366305576832,0.9671366305576832,7.8886976477337925,3928.5714285714284,249.0,0.5,"[2499, 3249, 5499, 10249, 15749, 19499, 20249, 24249, 29999]"
1777663514,500,0.5,lightgbm,0.7,0.1488095238095238,0.1488095238095238,0.08928571428571429,0.08928571428571429,0.9821428571428571,0.9821428571428571,0.04098360655737705,0.04098360655737705,0.9751465201465201,0.9751465201465201,0.4927630030595434,4187.5,4249.0,0.5,"[3249, 5499, 10249, 15499, 19999, 24249]"
1777663542,500,0.5,lightgbm,0.7,0.12612612612612614,0.12612612612612614,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9684762485771858,0.9684762485771858,10.542168674698795,5250.0,249.0,0.5,"[3249, 5499, 10249, 15249, 20249, 24249, 29499]"
1777663568,500,0.5,lightgbm,0.7,0.1274131274131274,0.1274131274131274,0.09009009009009009,0.09009009009009009,0.9819819819819819,0.9819819819819819,0.04132231404958678,0.04132231404958678,0.9751465201465201,0.9751465201465201,0.5474836807749,5200.0,4749.0,0.5,"[3249, 5749, 10249, 15249, 19999, 24749, 29249]"
1777663589,500,0.5,lightgbm,0.7,0.12755102040816327,0.12755102040816327,0.08928571428571429,0.08928571428571429,0.9821428571428571,0.9821428571428571,0.04098360655737705,0.04098360655737705,0.9751465201465201,0.9751465201465201,0.6295598964462227,5350.0,4249.0,0.5,"[3249, 5499, 10249, 15249, 19999, 24249, 29999]"
1777663613,500,0.5,lightgbm,0.7,0.14732142857142858,0.14732142857142858,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.542168674698795,5250.0,249.0,0.5,"[3249, 5499, 10249, 15249, 20249, 24249]"
1777663638,500,0.5,lightgbm,0.7,0.1274131274131274,0.1274131274131274,0.09009009009009009,0.09009009009009009,0.9819819819819819,0.9819819819819819,0.04132231404958678,0.04132231404958678,0.9751465201465201,0.9751465201465201,0.577906201378084,5200.0,4499.0,0.5,"[3249, 5499, 10249, 15499, 19999, 24499, 29249]"
1777663659,500,0.5,lightgbm,0.7,0.1274131274131274,0.1274131274131274,0.09009009009009009,0.09009009009009009,0.9819819819819819,0.9819819819819819,0.04132231404958678,0.04132231404958678,0.9751465201465201,0.9751465201465201,0.5422194146136029,5150.0,4749.0,0.5,"[3249, 5999, 10249, 15249, 19999, 24749, 28999]"
1777663680,500,0.5,lightgbm,0.7,0.11036036036036037,0.11036036036036037,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.9524765729585,4458.333333333333,249.0,0.5,"[3249, 5999, 10249, 15499, 19749, 20249, 24249, 29999]"
1777663701,500,0.5,lightgbm,0.7,0.14732142857142858,0.14732142857142858,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.542168674698795,5250.0,249.0,0.5,"[3249, 5499, 10249, 15249, 20249, 24249]"
1777663723,500,0.5,lightgbm,0.7,0.1488095238095238,0.1488095238095238,0.08928571428571429,0.08928571428571429,0.9821428571428571,0.9821428571428571,0.04098360655737705,0.04098360655737705,0.9751465201465201,0.9751465201465201,0.4927630030595434,4187.5,4249.0,0.5,"[3249, 5999, 10249, 15249, 19999, 24249]"
1777663755,500,0.5,lightgbm,0.7,0.1274131274131274,0.1274131274131274,0.09009009009009009,0.09009009009009009,0.9819819819819819,0.9819819819819819,0.04132231404958678,0.04132231404958678,0.9751465201465201,0.9751465201465201,0.577906201378084,5200.0,4499.0,0.5,"[3249, 5999, 10249, 15249, 19999, 24499, 29249]"
1777663778,500,0.5,lightgbm,0.7,0.12627551020408162,0.12627551020408162,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.742971887550201,5350.0,249.0,0.5,"[3249, 5499, 10249, 15249, 20249, 24249, 29999]"
1777663799,500,0.5,lightgbm,0.7,0.12755102040816327,0.12755102040816327,0.08928571428571429,0.08928571428571429,0.9821428571428571,0.9821428571428571,0.04098360655737705,0.04098360655737705,0.9751465201465201,0.9751465201465201,0.6295598964462227,5350.0,4249.0,0.5,"[3249, 5499, 10249, 15499, 19999, 24249, 29999]"
1777663824,500,0.5,lightgbm,0.7,0.11133181818181818,0.11133181818181818,0.09090909090909091,0.09090909090909091,0.9815636363636364,0.9815636363636364,0.04166666666666667,0.04166666666666667,0.9762061835515021,0.9762061835515021,8.785140562248996,4375.0,249.0,0.5,"[3249, 5999, 9999, 16249, 18999, 20249, 24249, 29499]"
1777663845,500,0.5,lightgbm,0.7,0.1488095238095238,0.1488095238095238,0.08928571428571429,0.08928571428571429,0.9821428571428571,0.9821428571428571,0.04098360655737705,0.04098360655737705,0.9751465201465201,0.9751465201465201,0.4927630030595434,4187.5,4249.0,0.5,"[3249, 5999, 10249, 15249, 19999, 24249]"
1777663871,500,0.5,lightgbm,0.7,0.1488095238095238,0.1488095238095238,0.08928571428571429,0.08928571428571429,0.9821428571428571,0.9821428571428571,0.04098360655737705,0.04098360655737705,0.9751465201465201,0.9751465201465201,0.4927630030595434,4187.5,4249.0,0.5,"[3249, 5999, 10249, 15249, 19999, 24249]"
1777663907,500,0.5,lightgbm,0.7,0.14732142857142858,0.14732142857142858,0.08928571428571429,0.08928571428571429,0.9732142857142857,0.9732142857142857,0.04098360655737705,0.04098360655737705,0.9685675727780991,0.9685675727780991,10.542168674698795,5250.0,249.0,0.5,"[3249, 5999, 10249, 15249, 20249, 24249]"
1777663928,500,0.5,lightgbm,0.7,0.12612612612612614,0.12612612612612614,0.09009009009009009,0.09009009009009009,0.972972972972973,0.972972972972973,0.04132231404958678,0.04132231404958678,0.9683897633897633,0.9683897633897633,8.433734939759036,4200.0,249.0,0.5,"[3249, 5499, 10249, 15749, 18999, 20249, 24249]"
