seed,n_reference_samples,recent_samples_proportion,shap_classifier,shap_mode,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1778257617,3000,0.1,lightgbm,first,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 14999, 19499, 23699, 29099]"
1778257634,3000,0.1,lightgbm,all,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 14999, 19499, 23699, 29099]"
1778257650,3000,0.1,lightgbm,first,0.7,0.15989159891598917,0.15989159891598917,0.0,0.0,0.959349593495935,0.959349593495935,0.0,0.0,0.7294801641586868,0.7294801641586868,3.7794575366829704,8500.0,2249.0,0.0,"[3299, 10199, 15299, 19799, 24299, 28799]"
1778257665,3000,0.1,lightgbm,all,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 14999, 19499, 23699, 29099]"
1778257682,3000,0.1,lightgbm,first,0.7,0.15989159891598917,0.15989159891598917,0.0,0.0,0.959349593495935,0.959349593495935,0.0,0.0,0.7294801641586868,0.7294801641586868,4.049547403525488,8500.0,2099.0,0.0,"[3299, 10199, 14999, 19799, 23999, 28799]"
1778257696,3000,0.1,lightgbm,all,0.7,0.15989159891598917,0.15989159891598917,0.0,0.0,0.959349593495935,0.959349593495935,0.0,0.0,0.7294801641586868,0.7294801641586868,3.7794575366829704,8500.0,2249.0,0.0,"[3299, 10199, 15299, 19799, 24299, 28799]"
1778257712,3000,0.1,lightgbm,first,0.7,0.13564213564213565,0.13564213564213565,0.0,0.0,0.9494949494949495,0.9494949494949495,0.0,0.0,0.7034274193548387,0.7034274193548387,3.3093894304771676,6450.0,1949.0,0.0,"[3299, 7199, 10199, 15299, 19499, 23699, 29099]"
1778257726,3000,0.1,lightgbm,all,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 15299, 19499, 23699, 29099]"
1778257740,3000,0.1,lightgbm,first,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 14999, 19499, 23699, 29099]"
1778257754,3000,0.1,lightgbm,all,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 15299, 19499, 23699, 29099]"
1778257769,3000,0.1,lightgbm,first,0.7,0.16005291005291006,0.16005291005291006,0.0,0.0,0.9603174603174603,0.9603174603174603,0.0,0.0,0.7290441176470588,0.7290441176470588,4.4125192406362235,8600.0,1949.0,0.0,"[3299, 10199, 15299, 19499, 23699, 29099]"
