seed,n_reference_samples,recent_samples_proportion,shap_classifier,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1778259267,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778259271,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778259275,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778259280,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778259283,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778259287,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778259291,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778259295,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778259300,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778259303,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
