seed,n_reference_samples,recent_samples_proportion,shap_classifier,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1778312235,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312242,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312248,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312254,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312259,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312265,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312271,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312276,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312282,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312288,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312294,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312300,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312306,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312312,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312318,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312323,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312329,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312335,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312340,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
1778312346,3000,0.1,lightgbm,0.7,0.09674897119341563,0.09674897119341563,0.0,0.0,0.8707407407407407,0.8707407407407407,0.0,0.0,0.6864906955230645,0.6864906955230645,2.2234574763757644,4000.0,1799.0,0.0,"[3299, 6299, 9299, 12299, 15299, 18299, 21299, 24299, 27299]"
