seed,n_reference_samples,recent_samples_proportion,shap_classifier,shap_mode,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777646752,500,0.5,lightgbm,first,0.7,0.016468772567808824,0.016468772567808824,0.5423807411589177,0.5423807411589177,0.7235372394048147,0.7235372394048147,0.5148866811936786,0.5148866811936786,0.7229327139896037,0.7229327139896037,27.0362765229295,7900.0,292.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 39999, 47499, 52249]"
1777646840,500,0.5,lightgbm,all,0.7,0.016256154023805938,0.016256154023805938,0.5419573369893947,0.5419573369893947,0.7207750312512601,0.7207750312512601,0.5144503676193919,0.5144503676193919,0.719864839239628,0.719864839239628,17.752148349163274,7850.0,442.2,0.0,"[12999, 14499, 18249, 19749, 28249, 33499, 38499, 38999, 40749, 47249, 52249]"
1777646932,500,0.5,lightgbm,first,0.7,0.016795032057744273,0.016795032057744273,0.5423807411589177,0.5423807411589177,0.7271260937941046,0.7271260937941046,0.5148633270112236,0.5148633270112236,0.726504938597976,0.726504938597976,27.0362765229295,7900.0,292.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 39999, 47249, 52249]"
1777647022,500,0.5,lightgbm,all,0.7,0.016614508104638093,0.016614508104638093,0.5423286791847216,0.5423286791847216,0.7084737602311025,0.7084737602311025,0.5147088413375083,0.5147088413375083,0.7056284641354801,0.7056284641354801,5.185762604375858,9812.5,1892.2,0.0,"[12999, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 47999, 52249]"
1777647112,500,0.5,lightgbm,first,0.7,0.016998486009333222,0.016998486009333222,0.5423404169522965,0.5423404169522965,0.7293237630549619,0.7293237630549619,0.5148298479419545,0.5148298479419545,0.7286513108549365,0.7286513108549365,27.0362765229295,7900.0,292.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 39999, 46999, 52249]"
1777647201,500,0.5,lightgbm,all,0.7,0.016897367998716096,0.016897367998716096,0.5422484352431391,0.5422484352431391,0.7112221152303001,0.7112221152303001,0.5146592532031037,0.5146592532031037,0.7083688619084999,0.7083688619084999,5.3265117793942025,9812.5,1842.2,0.0,"[12999, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 47749, 52249]"
1777647295,500,0.5,lightgbm,first,0.7,0.017097463607403527,0.017097463607403527,0.5418968506794629,0.5418968506794629,0.7299689503609017,0.7299689503609017,0.5144859543727396,0.5144859543727396,0.7293303463260951,0.7293303463260951,20.14278429372769,7900.0,392.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 40499, 46999, 52249]"
1777647385,500,0.5,lightgbm,all,0.7,0.017049831487722676,0.017049831487722676,0.5422684962285348,0.5422684962285348,0.7127668111057616,0.7127668111057616,0.5146599954433703,0.5146599954433703,0.7099336808695825,0.7099336808695825,5.475114384555295,9812.5,1792.2,0.0,"[12999, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 47499, 52249]"
1777647478,500,0.5,lightgbm,first,0.7,0.017097463607403527,0.017097463607403527,0.5418968506794629,0.5418968506794629,0.7299689503609017,0.7299689503609017,0.5144859543727396,0.5144859543727396,0.7293303463260951,0.7293303463260951,20.14278429372769,7900.0,392.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 40499, 46999, 52249]"
1777647566,500,0.5,lightgbm,all,0.7,0.016614508104638093,0.016614508104638093,0.5423286791847216,0.5423286791847216,0.7084737602311025,0.7084737602311025,0.5147088413375083,0.5147088413375083,0.7056284641354801,0.7056284641354801,5.185762604375858,9812.5,1892.2,0.0,"[12999, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 47999, 52249]"
1777647660,500,0.5,lightgbm,first,0.7,0.017099296525886317,0.017099296525886317,0.5421791201258115,0.5421791201258115,0.730271381910561,0.730271381910561,0.5146990016120171,0.5146990016120171,0.7294173660346398,0.7294173660346398,17.865219357756672,7900.0,442.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 40749, 46999, 52249]"
1777647751,500,0.5,lightgbm,all,0.7,0.016729046992364063,0.016729046992364063,0.5420783096092584,0.5420783096092584,0.7260978265252631,0.7260978265252631,0.514506431811148,0.514506431811148,0.7250198120258832,0.7250198120258832,17.752148349163274,7850.0,442.2,0.0,"[12999, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 40749, 46999, 52249]"
1777647843,500,0.5,lightgbm,first,0.7,0.017099296525886317,0.017099296525886317,0.5421791201258115,0.5421791201258115,0.730271381910561,0.730271381910561,0.5146990016120171,0.5146990016120171,0.7294173660346398,0.7294173660346398,17.865219357756672,7900.0,442.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 40749, 46999, 52249]"
1777647932,500,0.5,lightgbm,all,0.7,0.016575081839810258,0.016575081839810258,0.5421791201258115,0.5421791201258115,0.7245050203637243,0.7245050203637243,0.5146157548040245,0.5146157548040245,0.7231699306888353,0.7231699306888353,13.255656872678149,7850.0,592.2,0.0,"[12999, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 41499, 46999, 52249]"
1777648023,500,0.5,lightgbm,first,0.7,0.017099296525886317,0.017099296525886317,0.5421791201258115,0.5421791201258115,0.730271381910561,0.730271381910561,0.5146990016120171,0.5146990016120171,0.7294173660346398,0.7294173660346398,17.865219357756672,7900.0,442.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 40749, 46999, 52249]"
1777648113,500,0.5,lightgbm,all,0.7,0.016017874621044103,0.016017874621044103,0.5421992822291222,0.5421992822291222,0.7183959030606073,0.7183959030606073,0.5145986898055702,0.5145986898055702,0.7176630748618553,0.7176630748618553,22.93980128579778,7850.0,342.2,0.0,"[12999, 14499, 18249, 19749, 28249, 33499, 38499, 39249, 39999, 47249, 52249]"
1777648205,500,0.5,lightgbm,first,0.7,0.017099296525886317,0.017099296525886317,0.5421791201258115,0.5421791201258115,0.730271381910561,0.730271381910561,0.5146990016120171,0.5146990016120171,0.7294173660346398,0.7294173660346398,17.865219357756672,7900.0,442.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 40749, 46999, 52249]"
1777648292,500,0.5,lightgbm,all,0.7,0.01730259990370727,0.01730259990370727,0.5423487401701171,0.5423487401701171,0.7153747392071899,0.7153747392071899,0.5148507297110464,0.5148507297110464,0.7128094423728039,0.7128094423728039,5.360438606014547,9875.0,1842.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 47749, 52249]"
1777648385,500,0.5,lightgbm,first,0.7,0.017099296525886317,0.017099296525886317,0.5421791201258115,0.5421791201258115,0.730271381910561,0.730271381910561,0.5146990016120171,0.5146990016120171,0.7294173660346398,0.7294173660346398,17.865219357756672,7900.0,442.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 40749, 46999, 52249]"
1777648473,500,0.5,lightgbm,all,0.7,0.016614508104638093,0.016614508104638093,0.5423286791847216,0.5423286791847216,0.7084737602311025,0.7084737602311025,0.5147088413375083,0.5147088413375083,0.7056284641354801,0.7056284641354801,5.185762604375858,9812.5,1892.2,0.0,"[12999, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 47999, 52249]"
1777648568,500,0.5,lightgbm,first,0.7,0.017099296525886317,0.017099296525886317,0.5421791201258115,0.5421791201258115,0.730271381910561,0.730271381910561,0.5146990016120171,0.5146990016120171,0.7294173660346398,0.7294173660346398,17.865219357756672,7900.0,442.2,0.0,"[12749, 14499, 17999, 19749, 28249, 33499, 38499, 38999, 40749, 46999, 52249]"
