seed,n_reference_samples,recent_samples_proportion,shap_classifier,shap_mode,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1778240513,3000,0.1,lightgbm,first,0.7,0.012095588235294122,0.012095588235294122,0.6316993464052287,0.6316993464052287,0.7284640522875817,0.7284640522875817,0.5894074659456424,0.5894074659456424,0.720728070402891,0.720728070402891,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52499]"
1778240583,3000,0.1,lightgbm,all,0.7,0.012095588235294122,0.012095588235294122,0.6316993464052287,0.6316993464052287,0.7284640522875817,0.7284640522875817,0.5894074659456424,0.5894074659456424,0.720728070402891,0.720728070402891,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52499]"
1778240669,3000,0.1,lightgbm,first,0.7,0.011794554455445541,0.011794554455445541,0.6389108910891089,0.6389108910891089,0.7332673267326733,0.7332673267326733,0.5929486373579217,0.5929486373579217,0.7241442235620065,0.7241442235620065,2.266681085757543,13100.0,4623.5,0.19999999999999996,"[12899, 15899, 19199, 28199, 33599, 38399, 47399, 52199]"
1778240741,3000,0.1,lightgbm,all,0.7,0.012565359477124172,0.012565359477124172,0.6319934640522876,0.6319934640522876,0.732516339869281,0.732516339869281,0.5897546805124736,0.5897546805124736,0.7248428852157103,0.7248428852157103,2.3216444981862154,13200.0,4548.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33299, 38399, 47399, 52499]"
1778240828,3000,0.1,lightgbm,first,0.7,0.010535130718954247,0.010535130718954247,0.63140522875817,0.63140522875817,0.7156862745098039,0.7156862745098039,0.5892755411757505,0.5892755411757505,0.7082183523890074,0.7082183523890074,2.212213260710171,13200.0,4773.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47999, 52499]"
1778240898,3000,0.1,lightgbm,all,0.7,0.011556372549019617,0.011556372549019617,0.6336601307189542,0.6336601307189542,0.7261111111111112,0.7261111111111112,0.5910562677856821,0.5910562677856821,0.7176315731239898,0.7176315731239898,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19199, 28199, 33599, 38399, 47399, 52499]"
1778240985,3000,0.1,lightgbm,first,0.7,0.012095588235294122,0.012095588235294122,0.6316993464052287,0.6316993464052287,0.7284640522875817,0.7284640522875817,0.5894074659456424,0.5894074659456424,0.720728070402891,0.720728070402891,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52499]"
1778241056,3000,0.1,lightgbm,all,0.7,0.012095588235294122,0.012095588235294122,0.6316993464052287,0.6316993464052287,0.7284640522875817,0.7284640522875817,0.5894074659456424,0.5894074659456424,0.720728070402891,0.720728070402891,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52499]"
1778241140,3000,0.1,lightgbm,first,0.7,0.012339108910891086,0.012339108910891086,0.6369306930693069,0.6369306930693069,0.7356435643564356,0.7356435643564356,0.5912770413733344,0.5912770413733344,0.7273474732171262,0.7273474732171262,2.266681085757543,13100.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52199]"
1778241210,3000,0.1,lightgbm,all,0.7,0.011151960784313728,0.011151960784313728,0.6346078431372549,0.6346078431372549,0.7238235294117648,0.7238235294117648,0.5918704400910461,0.5918704400910461,0.7151681405379992,0.7151681405379992,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 18899, 28199, 33599, 38399, 47399, 52499]"
1778241296,3000,0.1,lightgbm,first,0.7,0.009137788778877887,0.009137788778877887,0.6361386138613861,0.6361386138613861,0.7092409240924092,0.7092409240924092,0.5907223536157974,0.5907223536157974,0.7011241440870449,0.7011241440870449,2.1285670762668834,13100.0,4923.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 48599, 52199]"
1778241365,3000,0.1,lightgbm,all,0.7,0.012095588235294122,0.012095588235294122,0.6316993464052287,0.6316993464052287,0.7284640522875817,0.7284640522875817,0.5894074659456424,0.5894074659456424,0.720728070402891,0.720728070402891,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52499]"
1778241452,3000,0.1,lightgbm,first,0.7,0.012565359477124172,0.012565359477124172,0.6319934640522876,0.6319934640522876,0.732516339869281,0.732516339869281,0.5897546805124736,0.5897546805124736,0.7248428852157103,0.7248428852157103,2.3216444981862154,13200.0,4548.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33299, 38399, 47399, 52499]"
1778241525,3000,0.1,lightgbm,all,0.7,0.011556372549019617,0.011556372549019617,0.6336601307189542,0.6336601307189542,0.7261111111111112,0.7261111111111112,0.5910562677856821,0.5910562677856821,0.7176315731239898,0.7176315731239898,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19199, 28199, 33599, 38399, 47399, 52499]"
1778241612,3000,0.1,lightgbm,first,0.7,0.009933993399339938,0.009933993399339938,0.6367326732673267,0.6367326732673267,0.7162046204620462,0.7162046204620462,0.591217392001049,0.591217392001049,0.7081479564968046,0.7081479564968046,2.1614932453336086,13100.0,4848.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 48299, 52199]"
1778241681,3000,0.1,lightgbm,all,0.7,0.012026143790849667,0.012026143790849667,0.6339542483660131,0.6339542483660131,0.7301633986928104,0.7301633986928104,0.5914078965900584,0.5914078965900584,0.7217484855022804,0.7217484855022804,2.3216444981862154,13200.0,4548.5,0.19999999999999996,"[12899, 15899, 19199, 28199, 33299, 38399, 47399, 52499]"
1778241769,3000,0.1,lightgbm,first,0.7,0.009933993399339938,0.009933993399339938,0.6367326732673267,0.6367326732673267,0.7162046204620462,0.7162046204620462,0.591217392001049,0.591217392001049,0.7081479564968046,0.7081479564968046,2.1614932453336086,13100.0,4848.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 48299, 52199]"
1778241839,3000,0.1,lightgbm,all,0.7,0.011556372549019617,0.011556372549019617,0.6336601307189542,0.6336601307189542,0.7261111111111112,0.7261111111111112,0.5910562677856821,0.5910562677856821,0.7176315731239898,0.7176315731239898,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19199, 28199, 33599, 38399, 47399, 52499]"
1778241924,3000,0.1,lightgbm,first,0.7,0.012095588235294122,0.012095588235294122,0.6316993464052287,0.6316993464052287,0.7284640522875817,0.7284640522875817,0.5894074659456424,0.5894074659456424,0.720728070402891,0.720728070402891,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52499]"
1778241994,3000,0.1,lightgbm,all,0.7,0.012599009900990096,0.012599009900990096,0.6388448844884489,0.6388448844884489,0.7396369636963697,0.7396369636963697,0.5929013911727649,0.5929013911727649,0.730426534835929,0.730426534835929,2.304056282290865,13100.0,4548.5,0.19999999999999996,"[12899, 15899, 19199, 28199, 33599, 38399, 47099, 52199]"
1778242081,3000,0.1,lightgbm,first,0.7,0.012095588235294122,0.012095588235294122,0.6316993464052287,0.6316993464052287,0.7284640522875817,0.7284640522875817,0.5894074659456424,0.5894074659456424,0.720728070402891,0.720728070402891,2.2839839948091276,13200.0,4623.5,0.19999999999999996,"[12899, 15899, 19499, 28199, 33599, 38399, 47399, 52499]"
