seed,n_reference_samples,recent_samples_proportion,shap_classifier,shap_mode,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777665268,500,0.5,lightgbm,first,0.7,0.015357340720221607,0.015357340720221607,0.39242105263157895,0.39242105263157895,0.6842105263157895,0.6842105263157895,0.38189405724804965,0.38189405724804965,0.6841200397576989,0.6841200397576989,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665276,500,0.5,lightgbm,all,0.7,0.01937950138504155,0.01937950138504155,0.3313684210526316,0.3313684210526316,0.6995789473684211,0.6995789473684211,0.3356848665469984,0.3356848665469984,0.6994721084663468,0.6994721084663468,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665283,500,0.5,lightgbm,first,0.7,0.01631024930747922,0.01631024930747922,0.34842105263157896,0.34842105263157896,0.6583157894736842,0.6583157894736842,0.3360606316818903,0.3360606316818903,0.6564180673359395,0.6564180673359395,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665291,500,0.5,lightgbm,all,0.7,0.016288088642659283,0.016288088642659283,0.3151578947368421,0.3151578947368421,0.6246315789473684,0.6246315789473684,0.29474693049288614,0.29474693049288614,0.6247058561147936,0.6247058561147936,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665298,500,0.5,lightgbm,first,0.7,0.011900277008310247,0.011900277008310247,0.4248421052631579,0.4248421052631579,0.6509473684210526,0.6509473684210526,0.40751670518553634,0.40751670518553634,0.6467948108163033,0.6467948108163033,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665306,500,0.5,lightgbm,all,0.7,0.012011080332409973,0.012011080332409973,0.46610526315789474,0.46610526315789474,0.6943157894736842,0.6943157894736842,0.3825990172822002,0.3825990172822002,0.6939841210100655,0.6939841210100655,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665314,500,0.5,lightgbm,first,0.7,0.007844875346260391,0.007844875346260391,0.5484210526315789,0.5484210526315789,0.6974736842105264,0.6974736842105264,0.5442007061942981,0.5442007061942981,0.6933105787009497,0.6933105787009497,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665322,500,0.5,lightgbm,all,0.7,0.012210526315789475,0.012210526315789475,0.38652631578947366,0.38652631578947366,0.6185263157894737,0.6185263157894737,0.38152844505061195,0.38152844505061195,0.6100040494168536,0.6100040494168536,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665330,500,0.5,lightgbm,first,0.7,0.019257617728531858,0.019257617728531858,0.3336842105263158,0.3336842105263158,0.6995789473684211,0.6995789473684211,0.3080408109361587,0.3080408109361587,0.6920267766941498,0.6920267766941498,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777665337,500,0.5,lightgbm,all,0.7,0.012742382271468145,0.012742382271468145,0.3835789473684211,0.3835789473684211,0.6256842105263158,0.6256842105263158,0.3842450015562023,0.3842450015562023,0.6269004750393576,0.6269004750393576,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
