seed,n_reference_samples,recent_samples_proportion,shap_classifier,shap_mode,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777630724,500,0.5,lightgbm,first,0.7,0.01354016620498615,0.01354016620498615,0.3726315789473684,0.3726315789473684,0.6298947368421053,0.6298947368421053,0.35508500167103946,0.35508500167103946,0.6316156033204819,0.6316156033204819,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777630731,500,0.5,lightgbm,all,0.7,0.01668698060941828,0.01668698060941828,0.33873684210526317,0.33873684210526317,0.6557894736842105,0.6557894736842105,0.3078878487359342,0.3078878487359342,0.6570230483761339,0.6570230483761339,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777630739,500,0.5,lightgbm,first,0.7,0.015235457063711912,0.015235457063711912,0.32042105263157894,0.32042105263157894,0.6098947368421053,0.6098947368421053,0.29676705058817787,0.29676705058817787,0.6067027651245372,0.6067027651245372,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777630747,500,0.5,lightgbm,all,0.7,0.011711911357340723,0.011711911357340723,0.45621052631578946,0.45621052631578946,0.6787368421052632,0.6787368421052632,0.4376764466212652,0.4376764466212652,0.6736347388211993,0.6736347388211993,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777630754,500,0.5,lightgbm,first,0.7,0.014969529085872573,0.014969529085872573,0.3785263157894737,0.3785263157894737,0.6629473684210526,0.6629473684210526,0.3438756726036047,0.3438756726036047,0.6621062934692302,0.6621062934692302,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777630762,500,0.5,lightgbm,all,0.7,0.011379501385041551,0.011379501385041551,0.43473684210526314,0.43473684210526314,0.6509473684210526,0.6509473684210526,0.40094083047418944,0.40094083047418944,0.6506988858599251,0.6506988858599251,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777630769,500,0.5,lightgbm,first,0.7,0.017662049861495843,0.017662049861495843,0.3684210526315789,0.3684210526315789,0.704,0.704,0.3672174104724197,0.3672174104724197,0.7041262909448746,0.7041262909448746,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777630777,500,0.5,lightgbm,all,0.7,0.012797783933518006,0.012797783933518006,0.36336842105263156,0.36336842105263156,0.6065263157894737,0.6065263157894737,0.3509871741684041,0.3509871741684041,0.596197523363252,0.596197523363252,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777630784,500,0.5,lightgbm,first,0.7,0.012698060941828258,0.012698060941828258,0.3543157894736842,0.3543157894736842,0.5955789473684211,0.5955789473684211,0.3302749616203546,0.3302749616203546,0.5904534380852555,0.5904534380852555,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
1777630792,500,0.5,lightgbm,all,0.7,0.017529085872576178,0.017529085872576178,0.3425263157894737,0.3425263157894737,0.6755789473684211,0.6755789473684211,0.34250685190376634,0.34250685190376634,0.6624008267426014,0.6624008267426014,4.016064257028113,1000.0,249.0,0.0,"[749, 1249, 1749, 2249, 2749, 3249, 3749, 4249, 4749, 5249, 5749, 6249, 6749, 7249, 7749, 8249, 8749, 9249, 9749]"
